location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
AFG,True,True,,,,,,,0,all,first projection,30725560,1.0,2020-06-01,2020-11-30
AFG,True,True,,,,,,,0,3+,first projection,10313185,0.34,2020-06-01,2020-11-30
AFG,True,True,,,,,,,0,1,first projection,8880776,0.29,2020-06-01,2020-11-30
AFG,True,True,,,,,,,0,2,first projection,11531599,0.38,2020-06-01,2020-11-30
AFG,True,True,,,,,,,0,3,first projection,7006624,0.23,2020-06-01,2020-11-30
AFG,True,True,,,,,,,0,4,first projection,3306561,0.11,2020-06-01,2020-11-30
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2020-06-01,2020-11-30
AFG,True,True,,,,,,,0,all,current,30725560,1.0,2019-08-01,2019-10-31
AFG,True,True,,,,,,,0,3+,current,10232241,0.33,2019-08-01,2019-10-31
AFG,True,True,,,,,,,0,1,current,10118714,0.33,2019-08-01,2019-10-31
AFG,True,True,,,,,,,0,2,current,10374605,0.34,2019-08-01,2019-10-31
AFG,True,True,,,,,,,0,3,current,7793849,0.25,2019-08-01,2019-10-31
AFG,True,True,,,,,,,0,4,current,2438392,0.08,2019-08-01,2019-10-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2019-08-01,2019-10-31
AFG,True,True,,,,,,,0,all,first projection,30725560,1.0,2019-11-01,2020-03-31
AFG,True,True,,,,,,,0,3+,first projection,11286353,0.37,2019-11-01,2020-03-31
AFG,True,True,,,,,,,0,1,first projection,9989069,0.33,2019-11-01,2020-03-31
AFG,True,True,,,,,,,0,2,first projection,9450138,0.31,2019-11-01,2020-03-31
AFG,True,True,,,,,,,0,3,first projection,8591396,0.28,2019-11-01,2020-03-31
AFG,True,True,,,,,,,0,4,first projection,2694957,0.09,2019-11-01,2020-03-31
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2019-11-01,2020-03-31
AFG,True,True,,,,,,,0,all,current,22567065,1.0,2018-08-01,2018-10-31
AFG,True,True,,,,,,,0,3+,current,9838407,0.43,2018-08-01,2018-10-31
