location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,55-59,55,59,14080,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,60-64,60,64,5080,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,60-64,60,64,6402,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,60-64,60,64,11482,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,65-69,65,69,3578,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,65-69,65,69,4950,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,65-69,65,69,8528,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,70-74,70,74,2198,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,70-74,70,74,3340,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,70-74,70,74,5538,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,75-79,75,79,940,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,75-79,75,79,1572,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,75-79,75,79,2512,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,f,80+,80,None,1114,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,m,80+,80,None,1813,2021-01-01,2021-12-31
AFG,True,True,Badghis,,AF31,Badghis,,,1,all,80+,80,None,2927,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,all,None,None,639251,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,all,None,None,666993,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,all,None,None,1306244,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,0-4,0,4,115039,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,0-4,0,4,120220,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,0-4,0,4,235259,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,5-9,5,9,99043,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,5-9,5,9,106604,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,5-9,5,9,205647,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,10-14,10,14,83627,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,10-14,10,14,92575,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,10-14,10,14,176202,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,15-19,15,19,71113,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,15-19,15,19,76477,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,15-19,15,19,147590,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,20-24,20,24,60514,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,20-24,20,24,56696,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,20-24,20,24,117210,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,25-29,25,29,48811,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,25-29,25,29,44656,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,25-29,25,29,93467,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,30-34,30,34,34161,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,30-34,30,34,34648,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,30-34,30,34,68809,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,35-39,35,39,27654,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,35-39,35,39,28310,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,35-39,35,39,55964,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,40-44,40,44,25368,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,40-44,40,44,24082,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,40-44,40,44,49450,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,45-49,45,49,21158,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,45-49,45,49,20046,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,45-49,45,49,41204,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,f,50-54,50,54,16265,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,m,50-54,50,54,15980,2021-01-01,2021-12-31
AFG,True,True,Baghlan,,AF09,Baghlan,,,1,all,50-54,50,54,32245,2021-01-01,2021-12-31
