location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,33980,10,2020-06-30,2020-06-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,46035,11,2020-12-31,2020-12-31
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,68131,12,2021-03-30,2021-03-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,77459,13,2021-06-30,2021-06-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,101036,14,2021-12-31,2021-12-31
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,122726,15,2022-04-30,2022-04-30
AFG,True,True,Kabul,Bagrami,AF01,Kabul,AF0104,Bagrami,2,Returns and displacement in Afghanistan,BA,205944,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,14826,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,22302,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,22396,4,2018-03-30,2018-03-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,19644,5,2018-06-30,2018-06-30
AFG,True,True,Kabul,Deh Sabz,AF01,Kabul,AF0105,Deh Sabz,2,Returns and displacement in Afghanistan,BA,20090,6,2018-09-30,2018-09-30
